,void,int,$,{,break,;,if,while,return,ID,+,-,(,NUM,},[,",",),else,],=,<,==,*
TermZegond,,,,,,synch,,,,,"['SignedFactorZegond', 'G']","['SignedFactorZegond', 'G']","['SignedFactorZegond', 'G']","['SignedFactorZegond', 'G']",,,synch,synch,,synch,,synch,synch,
G,,,,,,['epsilon'],,,,,['epsilon'],['epsilon'],,,,,['epsilon'],['epsilon'],,['epsilon'],,['epsilon'],['epsilon'],"['*', 'SignedFactor', 'G']"
Factor,,,,,,synch,,,,"['ID', 'VarCallPrime']",synch,synch,"['(', 'Expression', ')']",['NUM'],,,synch,synch,,synch,,synch,synch,synch
VarCallPrime,,,,,,['VarPrime'],,,,,['VarPrime'],['VarPrime'],"['(', 'Args', ')']",,,['VarPrime'],['VarPrime'],['VarPrime'],,['VarPrime'],,['VarPrime'],['VarPrime'],['VarPrime']
VarPrime,,,,,,['epsilon'],,,,,['epsilon'],['epsilon'],,,,"['[', 'Expression', ']']",['epsilon'],['epsilon'],,['epsilon'],,['epsilon'],['epsilon'],['epsilon']
FactorZegond,,,,,,synch,,,,,synch,synch,"['(', 'Expression', ')']",['NUM'],,,synch,synch,,synch,,synch,synch,synch
SignedFactor,,,,,,synch,,,,['Factor'],"['+', 'Factor']","['-', 'Factor']",['Factor'],['Factor'],,,synch,synch,,synch,,synch,synch,synch
SignedFactorPrime,,,,,,['FactorPrime'],,,,,['FactorPrime'],['FactorPrime'],['FactorPrime'],,,,['FactorPrime'],['FactorPrime'],,['FactorPrime'],,['FactorPrime'],['FactorPrime'],['FactorPrime']
FactorPrime,,,,,,['epsilon'],,,,,['epsilon'],['epsilon'],"['(', 'Args', ')']",,,,['epsilon'],['epsilon'],,['epsilon'],,['epsilon'],['epsilon'],['epsilon']
SignedFactorZegond,,,,,,synch,,,,,"['+', 'Factor']","['-', 'Factor']",['FactorZegond'],['FactorZegond'],,,synch,synch,,synch,,synch,synch,synch
Relop,,,,,,,,,,synch,synch,synch,synch,synch,,,,,,,,['<'],['=='],
Addop,,,,,,,,,,synch,['+'],['-'],synch,synch,,,,,,,,,,
Args,,,,,,,,,,['ArgList'],['ArgList'],['ArgList'],['ArgList'],['ArgList'],,,,['epsilon'],,,,,,
ArgList,,,,,,,,,,"['Expression', 'ArgListPrime']","['Expression', 'ArgListPrime']","['Expression', 'ArgListPrime']","['Expression', 'ArgListPrime']","['Expression', 'ArgListPrime']",,,,synch,,,,,,
ParamPrime,,,,,,,,,,,,,,,,"['[', ']']",['epsilon'],['epsilon'],,,,,,
ParamList,,,,,,,,,,,,,,,,,"[',', 'Param', 'ParamList']",['epsilon'],,,,,,
ArgListPrime,,,,,,,,,,,,,,,,,"[',', 'Expression', 'ArgListPrime']",['epsilon'],,,,,,
